Player		 Dealer	 Stand	 Hit	 Double	 Split	
9 8 		8	954	941	None	None	
9 8 		9	949	950	None	None	
9 8 		10	946	929	None	None	
9 8 		A	939	928	None	None	
9 9 		2	1008	940	None	993	
9 9 		3	1011	926	None	1037	
9 9 		4	1014	931	None	1027	
9 9 		5	1012	939	None	1017	
9 9 		6	1019	938	None	1030	
9 9 		7	1037	933	None	1023	
9 9 		8	1003	950	None	1013	
9 9 		9	982	954	None	990	
9 9 		10	969	922	None	949	
9 9 		A	948	926	None	905	
9 10 		2	1048	934	None	None	
9 10 		3	1042	933	None	None	
9 10 		4	1042	935	None	None	
9 10 		5	1038	923	None	None	
9 10 		6	1057	930	None	None	
9 10 		7	1060	944	None	None	
9 10 		8	1056	937	None	None	
9 10 		9	1034	936	None	None	
9 10 		10	1007	920	None	None	
9 10 		A	1001	916	None	None	
9 A 		2	1068	1017	None	None	
9 A 		3	1070	1025	None	None	
9 A 		4	1061	1021	None	None	
9 A 		5	1063	1024	None	None	
9 A 		6	1059	1016	None	None	
9 A 		7	1075	1022	None	None	
9 A 		8	1075	1018	None	None	
9 A 		9	1070	1020	None	None	
9 A 		10	1055	992	None	None	
9 A 		A	988	962	None	None	
10 2 		2	962	964	None	None	
10 2 		3	960	964	None	None	
10 2 		4	990	987	None	None	
10 2 		5	984	983	None	None	
10 2 		6	990	968	None	None	
10 2 		7	952	998	None	None	
10 2 		8	950	976	None	None	
10 2 		9	948	953	None	None	
10 2 		10	942	947	None	None	
10 2 		A	918	935	None	None	
10 3 		2	962	956	None	None	
10 3 		3	972	972	None	None	
10 3 		4	968	989	None	None	
10 3 		5	1002	995	None	None	
10 3 		6	974	977	None	None	
10 3 		7	940	964	None	None	
10 3 		8	950	974	None	None	
10 3 		9	956	951	None	None	
10 3 		10	950	951	None	None	
10 3 		A	938	958	None	None	
10 4 		2	990	960	None	None	
10 4 		3	956	963	None	None	
10 4 		4	990	969	None	None	
10 4 		5	994	966	None	None	
10 4 		6	996	978	None	None	
10 4 		7	966	969	None	None	
10 4 		8	950	970	None	None	
10 4 		9	942	951	None	None	
10 4 		10	938	953	None	None	
10 4 		A	926	927	None	None	
10 5 		2	980	963	None	None	
10 5 		3	966	957	None	None	
10 5 		4	972	949	None	None	
